,resultScore,@type,result.@id,result.image.url,result.image.contentUrl,result.@type,result.detailedDescription.license,result.detailedDescription.url,result.detailedDescription.articleBody,result.name,result.description
0,813.151123046875,EntitySearchResult,kg:/m/043xvk,https://commons.wikimedia.org/wiki/File:Mandalorian_cosplay_-_2018_Atlanta_Comic_Con.jpg,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRtKW4HIUMVIeHfDIt4D4kQHH-V6TNjj_FSYWcUTpFwQWxbb_y-,['Thing'],https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Mandalorians,Mandalorians are fictional people associated with the planet Mandalore in the Star Wars universe and franchise created by George Lucas. ,Mandalorians,
1,751.1976928710938,EntitySearchResult,kg:/g/11r_tm4p0n,,,"['CreativeWork', 'Thing', 'TVSeason']",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/The_Mandalorian_(season_3),"The third season of the American television series The Mandalorian stars Pedro Pascal as the title character, a bounty hunter traveling to Mandalore to redeem his past transgressions with his companion Grogu. ",The Mandalorian,Television series season
2,451.7928161621094,EntitySearchResult,kg:/g/11fd6dg0by,https://commons.wikimedia.org/wiki/File:Costume_Pageant_Mandalorian_at_Star_Wars_Celebration_IV.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBWltyPXyBEuB1fkgnLKqf9fwRzSVPfCmPkoxKqi0_XSI1zUnx,"['CreativeWork', 'Thing', 'TVSeries']",https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/The_Mandalorian,"The Mandalorian is an American space western television series created by Jon Favreau for the streaming service Disney+. It is the first live-action series in the Star Wars franchise, beginning five years after the events of Return of the Jedi, and stars Pedro Pascal as the title character, a lone bounty hunter who goes on the run to protect ""the Child"".
",The Mandalorian,Television series
3,315.2810363769531,EntitySearchResult,kg:/g/11j0_91lt4,,,['Thing'],https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/The_Mandalorian_(character),"The Mandalorian, or Mando for short, is a fictional character in the Star Wars franchise, who appears as the titular protagonist of the Disney+ television series The Mandalorian and also appears in its spin-off The Book of Boba Fett. ",The Mandalorian,Fictional character
